Title,FirstName,MiddleName,LastName,Suffix,CompanyName,SalesPerson,EmailAddress,Phone,AddressLine1,AddressLine2,City,StateProvince,CountryRegion,PostalCode,AddressType,RevisionNumber,OrderDate,DueDate,ShipDate,Status,OnlineOrderFlag,SalesOrderNumber,PurchaseOrderNumber,AccountNumber,ShipMethod,CreditCardApprovalCode,SubTotal,TaxAmt,Freight,TotalDue,Comment,OrderQty,ProductID,UnitPrice,UnitPriceDiscount,LineTotal
Mr.,Raja,D.,Venugopal,,Nearby Cycle Shop,adventure-works\jae0,raja0@adventure-works.com,1 (11) 500 555-0195,Burgess Hill,Edward Way,West Sussex,England,United Kingdom,RH15 9UD,Main Office,2,00:00.0,00:00.0,00:00.0,5,0,SO71780,PO19604173239,10-4020-000340,CARGO TRANSPORT 5,,38418.6895,3073.4952,960.4672,42452.6519,,1,937,48.594,0,48.594
Mr.,Raja,D.,Venugopal,,Nearby Cycle Shop,adventure-works\jae0,raja0@adventure-works.com,1 (11) 500 555-0195,Burgess Hill,Edward Way,West Sussex,England,United Kingdom,RH15 9UD,Main Office,2,00:00.0,00:00.0,00:00.0,5,0,SO71780,PO19604173239,10-4020-000340,CARGO TRANSPORT 5,,38418.6895,3073.4952,960.4672,42452.6519,,6,867,41.994,0,251.964
Mr.,Raja,D.,Venugopal,,Nearby Cycle Shop,adventure-works\jae0,raja0@adventure-works.com,1 (11) 500 555-0195,Burgess Hill,Edward Way,West Sussex,England,United Kingdom,RH15 9UD,Main Office,2,00:00.0,00:00.0,00:00.0,5,0,SO71780,PO19604173239,10-4020-000340,CARGO TRANSPORT 5,,38418.6895,3073.4952,960.4672,42452.6519,,1,985,112.998,0.4,67.7988
Mr.,Raja,D.,Venugopal,,Nearby Cycle Shop,adventure-works\jae0,raja0@adventure-works.com,1 (11) 500 555-0195,Burgess Hill,Edward Way,West Sussex,England,United Kingdom,RH15 9UD,Main Office,2,00:00.0,00:00.0,00:00.0,5,0,SO71780,PO19604173239,10-4020-000340,CARGO TRANSPORT 5,,38418.6895,3073.4952,960.4672,42452.6519,,2,989,323.994,0,647.988
Mr.,Raja,D.,Venugopal,,Nearby Cycle Shop,adventure-works\jae0,raja0@adventure-works.com,1 (11) 500 555-0195,Burgess Hill,Edward Way,West Sussex,England,United Kingdom,RH15 9UD,Main Office,2,00:00.0,00:00.0,00:00.0,5,0,SO71780,PO19604173239,10-4020-000340,CARGO TRANSPORT 5,,38418.6895,3073.4952,960.4672,42452.6519,,3,991,323.994,0,971.982
Mr.,Raja,D.,Venugopal,,Nearby Cycle Shop,adventure-works\jae0,raja0@adventure-works.com,1 (11) 500 555-0195,Burgess Hill,Edward Way,West Sussex,England,United Kingdom,RH15 9UD,Main Office,2,00:00.0,00:00.0,00:00.0,5,0,SO71780,PO19604173239,10-4020-000340,CARGO TRANSPORT 5,,38418.6895,3073.4952,960.4672,42452.6519,,1,992,323.994,0,323.994
Mr.,Raja,D.,Venugopal,,Nearby Cycle Shop,adventure-works\jae0,raja0@adventure-works.com,1 (11) 500 555-0195,Burgess Hill,Edward Way,West Sussex,England,United Kingdom,RH15 9UD,Main Office,2,00:00.0,00:00.0,00:00.0,5,0,SO71780,PO19604173239,10-4020-000340,CARGO TRANSPORT 5,,38418.6895,3073.4952,960.4672,42452.6519,,2,993,323.994,0,647.988
Mr.,Raja,D.,Venugopal,,Nearby Cycle Shop,adventure-works\jae0,raja0@adventure-works.com,1 (11) 500 555-0195,Burgess Hill,Edward Way,West Sussex,England,United Kingdom,RH15 9UD,Main Office,2,00:00.0,00:00.0,00:00.0,5,0,SO71780,PO19604173239,10-4020-000340,CARGO TRANSPORT 5,,38418.6895,3073.4952,960.4672,42452.6519,,2,984,112.998,0.4,135.5976
Mr.,Raja,D.,Venugopal,,Nearby Cycle Shop,adventure-works\jae0,raja0@adventure-works.com,1 (11) 500 555-0195,Burgess Hill,Edward Way,West Sussex,England,United Kingdom,RH15 9UD,Main Office,2,00:00.0,00:00.0,00:00.0,5,0,SO71780,PO19604173239,10-4020-000340,CARGO TRANSPORT 5,,38418.6895,3073.4952,960.4672,42452.6519,,3,986,112.998,0.4,203.3964
Mr.,Raja,D.,Venugopal,,Nearby Cycle Shop,adventure-works\jae0,raja0@adventure-works.com,1 (11) 500 555-0195,Burgess Hill,Edward Way,West Sussex,England,United Kingdom,RH15 9UD,Main Office,2,00:00.0,00:00.0,00:00.0,5,0,SO71780,PO19604173239,10-4020-000340,CARGO TRANSPORT 5,,38418.6895,3073.4952,960.4672,42452.6519,,3,987,112.998,0.4,203.3964
Mr.,Raja,D.,Venugopal,,Nearby Cycle Shop,adventure-works\jae0,raja0@adventure-works.com,1 (11) 500 555-0195,Burgess Hill,Edward Way,West Sussex,England,United Kingdom,RH15 9UD,Main Office,2,00:00.0,00:00.0,00:00.0,5,0,SO71780,PO19604173239,10-4020-000340,CARGO TRANSPORT 5,,38418.6895,3073.4952,960.4672,42452.6519,,2,981,461.694,0,923.388
Mr.,Raja,D.,Venugopal,,Nearby Cycle Shop,adventure-works\jae0,raja0@adventure-works.com,1 (11) 500 555-0195,Burgess Hill,Edward Way,West Sussex,England,United Kingdom,RH15 9UD,Main Office,2,00:00.0,00:00.0,00:00.0,5,0,SO71780,PO19604173239,10-4020-000340,CARGO TRANSPORT 5,,38418.6895,3073.4952,960.4672,42452.6519,,3,982,461.694,0,1385.082
Mr.,Raja,D.,Venugopal,,Nearby Cycle Shop,adventure-works\jae0,raja0@adventure-works.com,1 (11) 500 555-0195,Burgess Hill,Edward Way,West Sussex,England,United Kingdom,RH15 9UD,Main Office,2,00:00.0,00:00.0,00:00.0,5,0,SO71780,PO19604173239,10-4020-000340,CARGO TRANSPORT 5,,38418.6895,3073.4952,960.4672,42452.6519,,5,783,1376.994,0,6884.97
Mr.,Raja,D.,Venugopal,,Nearby Cycle Shop,adventure-works\jae0,raja0@adventure-works.com,1 (11) 500 555-0195,Burgess Hill,Edward Way,West Sussex,England,United Kingdom,RH15 9UD,Main Office,2,00:00.0,00:00.0,00:00.0,5,0,SO71780,PO19604173239,10-4020-000340,CARGO TRANSPORT 5,,38418.6895,3073.4952,960.4672,42452.6519,,3,809,37.152,0,111.456
Mr.,Raja,D.,Venugopal,,Nearby Cycle Shop,adventure-works\jae0,raja0@adventure-works.com,1 (11) 500 555-0195,Burgess Hill,Edward Way,West Sussex,England,United Kingdom,RH15 9UD,Main Office,2,00:00.0,00:00.0,00:00.0,5,0,SO71780,PO19604173239,10-4020-000340,CARGO TRANSPORT 5,,38418.6895,3073.4952,960.4672,42452.6519,,1,810,72.162,0,72.162
Mr.,Raja,D.,Venugopal,,Nearby Cycle Shop,adventure-works\jae0,raja0@adventure-works.com,1 (11) 500 555-0195,Burgess Hill,Edward Way,West Sussex,England,United Kingdom,RH15 9UD,Main Office,2,00:00.0,00:00.0,00:00.0,5,0,SO71780,PO19604173239,10-4020-000340,CARGO TRANSPORT 5,,38418.6895,3073.4952,960.4672,42452.6519,,2,935,24.294,0,48.588
Mr.,Raja,D.,Venugopal,,Nearby Cycle Shop,adventure-works\jae0,raja0@adventure-works.com,1 (11) 500 555-0195,Burgess Hill,Edward Way,West Sussex,England,United Kingdom,RH15 9UD,Main Office,2,00:00.0,00:00.0,00:00.0,5,0,SO71780,PO19604173239,10-4020-000340,CARGO TRANSPORT 5,,38418.6895,3073.4952,960.4672,42452.6519,,1,925,149.874,0,149.874
Mr.,Raja,D.,Venugopal,,Nearby Cycle Shop,adventure-works\jae0,raja0@adventure-works.com,1 (11) 500 555-0195,Burgess Hill,Edward Way,West Sussex,England,United Kingdom,RH15 9UD,Main Office,2,00:00.0,00:00.0,00:00.0,5,0,SO71780,PO19604173239,10-4020-000340,CARGO TRANSPORT 5,,38418.6895,3073.4952,960.4672,42452.6519,,7,869,41.994,0,293.958
Mr.,Raja,D.,Venugopal,,Nearby Cycle Shop,adventure-works\jae0,raja0@adventure-works.com,1 (11) 500 555-0195,Burgess Hill,Edward Way,West Sussex,England,United Kingdom,RH15 9UD,Main Office,2,00:00.0,00:00.0,00:00.0,5,0,SO71780,PO19604173239,10-4020-000340,CARGO TRANSPORT 5,,38418.6895,3073.4952,960.4672,42452.6519,,1,880,32.994,0,32.994
Ms.,Andrea,A.,Thomsen,,West Side Mart,adventure-works\jae0,andrea1@adventure-works.com,1 (11) 500 555-0120,251 The Metro Center,,Wokingham,England,United Kingdom,RG41 1QW,Main Office,2,00:00.0,00:00.0,00:00.0,5,0,SO71776,PO19952192051,10-4020-000106,CARGO TRANSPORT 5,,78.81,6.3048,1.9703,87.0851,,1,907,63.9,0,63.9
Mr.,Raja,D.,Venugopal,,Nearby Cycle Shop,adventure-works\jae0,raja0@adventure-works.com,1 (11) 500 555-0195,Burgess Hill,Edward Way,West Sussex,England,United Kingdom,RH15 9UD,Main Office,2,00:00.0,00:00.0,00:00.0,5,0,SO71780,PO19604173239,10-4020-000340,CARGO TRANSPORT 5,,38418.6895,3073.4952,960.4672,42452.6519,,2,983,461.694,0,923.388
Mr.,Raja,D.,Venugopal,,Nearby Cycle Shop,adventure-works\jae0,raja0@adventure-works.com,1 (11) 500 555-0195,Burgess Hill,Edward Way,West Sussex,England,United Kingdom,RH15 9UD,Main Office,2,00:00.0,00:00.0,00:00.0,5,0,SO71780,PO19604173239,10-4020-000340,CARGO TRANSPORT 5,,38418.6895,3073.4952,960.4672,42452.6519,,6,988,112.998,0.4,406.7928
Ms.,Catherine,R.,Abel,,Professional Sales and Service,adventure-works\linda3,catherine0@adventure-works.com,747-555-0171,57251 Serene Blvd,,Van Nuys,California,United States,4/9/1950 0:00,Main Office,2,00:00.0,00:00.0,00:00.0,5,0,SO71782,PO19372114749,10-4020-000582,CARGO TRANSPORT 5,,39785.3304,3182.8264,994.6333,43962.7901,,3,714,29.994,0,89.982
Ms.,Catherine,R.,Abel,,Professional Sales and Service,adventure-works\linda3,catherine0@adventure-works.com,747-555-0171,57251 Serene Blvd,,Van Nuys,California,United States,4/9/1950 0:00,Main Office,2,00:00.0,00:00.0,00:00.0,5,0,SO71782,PO19372114749,10-4020-000582,CARGO TRANSPORT 5,,39785.3304,3182.8264,994.6333,43962.7901,,10,877,4.77,0,47.7
Ms.,Catherine,R.,Abel,,Professional Sales and Service,adventure-works\linda3,catherine0@adventure-works.com,747-555-0171,57251 Serene Blvd,,Van Nuys,California,United States,4/9/1950 0:00,Main Office,2,00:00.0,00:00.0,00:00.0,5,0,SO71782,PO19372114749,10-4020-000582,CARGO TRANSPORT 5,,39785.3304,3182.8264,994.6333,43962.7901,,4,996,72.894,0,291.576
Ms.,Catherine,R.,Abel,,Professional Sales and Service,adventure-works\linda3,catherine0@adventure-works.com,747-555-0171,57251 Serene Blvd,,Van Nuys,California,United States,4/9/1950 0:00,Main Office,2,00:00.0,00:00.0,00:00.0,5,0,SO71782,PO19372114749,10-4020-000582,CARGO TRANSPORT 5,,39785.3304,3182.8264,994.6333,43962.7901,,6,864,38.1,0,228.6
Ms.,Catherine,R.,Abel,,Professional Sales and Service,adventure-works\linda3,catherine0@adventure-works.com,747-555-0171,57251 Serene Blvd,,Van Nuys,California,United States,4/9/1950 0:00,Main Office,2,00:00.0,00:00.0,00:00.0,5,0,SO71782,PO19372114749,10-4020-000582,CARGO TRANSPORT 5,,39785.3304,3182.8264,994.6333,43962.7901,,3,876,72,0,216
Ms.,Catherine,R.,Abel,,Professional Sales and Service,adventure-works\linda3,catherine0@adventure-works.com,747-555-0171,57251 Serene Blvd,,Van Nuys,California,United States,4/9/1950 0:00,Main Office,2,00:00.0,00:00.0,00:00.0,5,0,SO71782,PO19372114749,10-4020-000582,CARGO TRANSPORT 5,,39785.3304,3182.8264,994.6333,43962.7901,,4,959,445.41,0,1781.64
Ms.,Catherine,R.,Abel,,Professional Sales and Service,adventure-works\linda3,catherine0@adventure-works.com,747-555-0171,57251 Serene Blvd,,Van Nuys,California,United States,4/9/1950 0:00,Main Office,2,00:00.0,00:00.0,00:00.0,5,0,SO71782,PO19372114749,10-4020-000582,CARGO TRANSPORT 5,,39785.3304,3182.8264,994.6333,43962.7901,,4,971,728.91,0,2915.64
Ms.,Catherine,R.,Abel,,Professional Sales and Service,adventure-works\linda3,catherine0@adventure-works.com,747-555-0171,57251 Serene Blvd,,Van Nuys,California,United States,4/9/1950 0:00,Main Office,2,00:00.0,00:00.0,00:00.0,5,0,SO71782,PO19372114749,10-4020-000582,CARGO TRANSPORT 5,,39785.3304,3182.8264,994.6333,43962.7901,,6,870,2.994,0,17.964
Ms.,Catherine,R.,Abel,,Professional Sales and Service,adventure-works\linda3,catherine0@adventure-works.com,747-555-0171,57251 Serene Blvd,,Van Nuys,California,United States,4/9/1950 0:00,Main Office,2,00:00.0,00:00.0,00:00.0,5,0,SO71782,PO19372114749,10-4020-000582,CARGO TRANSPORT 5,,39785.3304,3182.8264,994.6333,43962.7901,,1,978,445.41,0,445.41
Ms.,Catherine,R.,Abel,,Professional Sales and Service,adventure-works\linda3,catherine0@adventure-works.com,747-555-0171,57251 Serene Blvd,,Van Nuys,California,United States,4/9/1950 0:00,Main Office,2,00:00.0,00:00.0,00:00.0,5,0,SO71782,PO19372114749,10-4020-000582,CARGO TRANSPORT 5,,39785.3304,3182.8264,994.6333,43962.7901,,1,955,1430.442,0,1430.442
Ms.,Catherine,R.,Abel,,Professional Sales and Service,adventure-works\linda3,catherine0@adventure-works.com,747-555-0171,57251 Serene Blvd,,Van Nuys,California,United States,4/9/1950 0:00,Main Office,2,00:00.0,00:00.0,00:00.0,5,0,SO71782,PO19372114749,10-4020-000582,CARGO TRANSPORT 5,,39785.3304,3182.8264,994.6333,43962.7901,,1,948,63.9,0,63.9
Ms.,Catherine,R.,Abel,,Professional Sales and Service,adventure-works\linda3,catherine0@adventure-works.com,747-555-0171,57251 Serene Blvd,,Van Nuys,California,United States,4/9/1950 0:00,Main Office,2,00:00.0,00:00.0,00:00.0,5,0,SO71782,PO19372114749,10-4020-000582,CARGO TRANSPORT 5,,39785.3304,3182.8264,994.6333,43962.7901,,1,994,32.394,0,32.394
Ms.,Catherine,R.,Abel,,Professional Sales and Service,adventure-works\linda3,catherine0@adventure-works.com,747-555-0171,57251 Serene Blvd,,Van Nuys,California,United States,4/9/1950 0:00,Main Office,2,00:00.0,00:00.0,00:00.0,5,0,SO71782,PO19372114749,10-4020-000582,CARGO TRANSPORT 5,,39785.3304,3182.8264,994.6333,43962.7901,,1,970,728.91,0,728.91
Ms.,Catherine,R.,Abel,,Professional Sales and Service,adventure-works\linda3,catherine0@adventure-works.com,747-555-0171,57251 Serene Blvd,,Van Nuys,California,United States,4/9/1950 0:00,Main Office,2,00:00.0,00:00.0,00:00.0,5,0,SO71782,PO19372114749,10-4020-000582,CARGO TRANSPORT 5,,39785.3304,3182.8264,994.6333,43962.7901,,2,966,1430.442,0,2860.884
Ms.,Catherine,R.,Abel,,Professional Sales and Service,adventure-works\linda3,catherine0@adventure-works.com,747-555-0171,57251 Serene Blvd,,Van Nuys,California,United States,4/9/1950 0:00,Main Office,2,00:00.0,00:00.0,00:00.0,5,0,SO71782,PO19372114749,10-4020-000582,CARGO TRANSPORT 5,,39785.3304,3182.8264,994.6333,43962.7901,,4,884,32.394,0,129.576
Ms.,Catherine,R.,Abel,,Professional Sales and Service,adventure-works\linda3,catherine0@adventure-works.com,747-555-0171,57251 Serene Blvd,,Van Nuys,California,United States,4/9/1950 0:00,Main Office,2,00:00.0,00:00.0,00:00.0,5,0,SO71782,PO19372114749,10-4020-000582,CARGO TRANSPORT 5,,39785.3304,3182.8264,994.6333,43962.7901,,2,885,602.346,0,1204.692
Ms.,Catherine,R.,Abel,,Professional Sales and Service,adventure-works\linda3,catherine0@adventure-works.com,747-555-0171,57251 Serene Blvd,,Van Nuys,California,United States,4/9/1950 0:00,Main Office,2,00:00.0,00:00.0,00:00.0,5,0,SO71782,PO19372114749,10-4020-000582,CARGO TRANSPORT 5,,39785.3304,3182.8264,994.6333,43962.7901,,8,715,29.994,0,239.952
Ms.,Catherine,R.,Abel,,Professional Sales and Service,adventure-works\linda3,catherine0@adventure-works.com,747-555-0171,57251 Serene Blvd,,Van Nuys,California,United States,4/9/1950 0:00,Main Office,2,00:00.0,00:00.0,00:00.0,5,0,SO71782,PO19372114749,10-4020-000582,CARGO TRANSPORT 5,,39785.3304,3182.8264,994.6333,43962.7901,,3,894,72.876,0,218.628
Ms.,Catherine,R.,Abel,,Professional Sales and Service,adventure-works\linda3,catherine0@adventure-works.com,747-555-0171,57251 Serene Blvd,,Van Nuys,California,United States,4/9/1950 0:00,Main Office,2,00:00.0,00:00.0,00:00.0,5,0,SO71782,PO19372114749,10-4020-000582,CARGO TRANSPORT 5,,39785.3304,3182.8264,994.6333,43962.7901,,1,957,1430.442,0,1430.442
Ms.,Catherine,R.,Abel,,Professional Sales and Service,adventure-works\linda3,catherine0@adventure-works.com,747-555-0171,57251 Serene Blvd,,Van Nuys,California,United States,4/9/1950 0:00,Main Office,2,00:00.0,00:00.0,00:00.0,5,0,SO71782,PO19372114749,10-4020-000582,CARGO TRANSPORT 5,,39785.3304,3182.8264,994.6333,43962.7901,,2,967,1430.442,0,2860.884
Ms.,Catherine,R.,Abel,,Professional Sales and Service,adventure-works\linda3,catherine0@adventure-works.com,747-555-0171,57251 Serene Blvd,,Van Nuys,California,United States,4/9/1950 0:00,Main Office,2,00:00.0,00:00.0,00:00.0,5,0,SO71782,PO19372114749,10-4020-000582,CARGO TRANSPORT 5,,39785.3304,3182.8264,994.6333,43962.7901,,7,708,20.994,0,146.958
Ms.,Catherine,R.,Abel,,Professional Sales and Service,adventure-works\linda3,catherine0@adventure-works.com,747-555-0171,57251 Serene Blvd,,Van Nuys,California,United States,4/9/1950 0:00,Main Office,2,00:00.0,00:00.0,00:00.0,5,0,SO71782,PO19372114749,10-4020-000582,CARGO TRANSPORT 5,,39785.3304,3182.8264,994.6333,43962.7901,,3,961,445.41,0,1336.23
Ms.,Catherine,R.,Abel,,Professional Sales and Service,adventure-works\linda3,catherine0@adventure-works.com,747-555-0171,57251 Serene Blvd,,Van Nuys,California,United States,4/9/1950 0:00,Main Office,2,00:00.0,00:00.0,00:00.0,5,0,SO71782,PO19372114749,10-4020-000582,CARGO TRANSPORT 5,,39785.3304,3182.8264,994.6333,43962.7901,,2,979,445.41,0,890.82
Ms.,Catherine,R.,Abel,,Professional Sales and Service,adventure-works\linda3,catherine0@adventure-works.com,747-555-0171,57251 Serene Blvd,,Van Nuys,California,United States,4/9/1950 0:00,Main Office,2,00:00.0,00:00.0,00:00.0,5,0,SO71782,PO19372114749,10-4020-000582,CARGO TRANSPORT 5,,39785.3304,3182.8264,994.6333,43962.7901,,2,958,445.41,0,890.82
Ms.,Catherine,R.,Abel,,Professional Sales and Service,adventure-works\linda3,catherine0@adventure-works.com,747-555-0171,57251 Serene Blvd,,Van Nuys,California,United States,4/9/1950 0:00,Main Office,2,00:00.0,00:00.0,00:00.0,5,0,SO71782,PO19372114749,10-4020-000582,CARGO TRANSPORT 5,,39785.3304,3182.8264,994.6333,43962.7901,,1,963,445.41,0,445.41
Ms.,Catherine,R.,Abel,,Professional Sales and Service,adventure-works\linda3,catherine0@adventure-works.com,747-555-0171,57251 Serene Blvd,,Van Nuys,California,United States,4/9/1950 0:00,Main Office,2,00:00.0,00:00.0,00:00.0,5,0,SO71782,PO19372114749,10-4020-000582,CARGO TRANSPORT 5,,39785.3304,3182.8264,994.6333,43962.7901,,1,953,728.91,0,728.91
Ms.,Catherine,R.,Abel,,Professional Sales and Service,adventure-works\linda3,catherine0@adventure-works.com,747-555-0171,57251 Serene Blvd,,Van Nuys,California,United States,4/9/1950 0:00,Main Office,2,00:00.0,00:00.0,00:00.0,5,0,SO71782,PO19372114749,10-4020-000582,CARGO TRANSPORT 5,,39785.3304,3182.8264,994.6333,43962.7901,,2,968,1430.442,0,2860.884
Ms.,Catherine,R.,Abel,,Professional Sales and Service,adventure-works\linda3,catherine0@adventure-works.com,747-555-0171,57251 Serene Blvd,,Van Nuys,California,United States,4/9/1950 0:00,Main Office,2,00:00.0,00:00.0,00:00.0,5,0,SO71782,PO19372114749,10-4020-000582,CARGO TRANSPORT 5,,39785.3304,3182.8264,994.6333,43962.7901,,2,951,242.994,0,485.988
Ms.,Catherine,R.,Abel,,Professional Sales and Service,adventure-works\linda3,catherine0@adventure-works.com,747-555-0171,57251 Serene Blvd,,Van Nuys,California,United States,4/9/1950 0:00,Main Office,2,00:00.0,00:00.0,00:00.0,5,0,SO71782,PO19372114749,10-4020-000582,CARGO TRANSPORT 5,,39785.3304,3182.8264,994.6333,43962.7901,,2,945,54.894,0,109.788
Ms.,Catherine,R.,Abel,,Professional Sales and Service,adventure-works\linda3,catherine0@adventure-works.com,747-555-0171,57251 Serene Blvd,,Van Nuys,California,United States,4/9/1950 0:00,Main Office,2,00:00.0,00:00.0,00:00.0,5,0,SO71782,PO19372114749,10-4020-000582,CARGO TRANSPORT 5,,39785.3304,3182.8264,994.6333,43962.7901,,1,916,31.584,0,31.584
Ms.,Catherine,R.,Abel,,Professional Sales and Service,adventure-works\linda3,catherine0@adventure-works.com,747-555-0171,57251 Serene Blvd,,Van Nuys,California,United States,4/9/1950 0:00,Main Office,2,00:00.0,00:00.0,00:00.0,5,0,SO71782,PO19372114749,10-4020-000582,CARGO TRANSPORT 5,,39785.3304,3182.8264,994.6333,43962.7901,,1,886,200.052,0,200.052
Ms.,Catherine,R.,Abel,,Professional Sales and Service,adventure-works\linda3,catherine0@adventure-works.com,747-555-0171,57251 Serene Blvd,,Van Nuys,California,United States,4/9/1950 0:00,Main Office,2,00:00.0,00:00.0,00:00.0,5,0,SO71782,PO19372114749,10-4020-000582,CARGO TRANSPORT 5,,39785.3304,3182.8264,994.6333,43962.7901,,1,892,602.346,0,602.346
Ms.,Catherine,R.,Abel,,Professional Sales and Service,adventure-works\linda3,catherine0@adventure-works.com,747-555-0171,57251 Serene Blvd,,Van Nuys,California,United States,4/9/1950 0:00,Main Office,2,00:00.0,00:00.0,00:00.0,5,0,SO71782,PO19372114749,10-4020-000582,CARGO TRANSPORT 5,,39785.3304,3182.8264,994.6333,43962.7901,,1,893,602.346,0,602.346
Ms.,Catherine,R.,Abel,,Professional Sales and Service,adventure-works\linda3,catherine0@adventure-works.com,747-555-0171,57251 Serene Blvd,,Van Nuys,California,United States,4/9/1950 0:00,Main Office,2,00:00.0,00:00.0,00:00.0,5,0,SO71782,PO19372114749,10-4020-000582,CARGO TRANSPORT 5,,39785.3304,3182.8264,994.6333,43962.7901,,3,956,1430.442,0,4291.326
Ms.,Catherine,R.,Abel,,Professional Sales and Service,adventure-works\linda3,catherine0@adventure-works.com,747-555-0171,57251 Serene Blvd,,Van Nuys,California,United States,4/9/1950 0:00,Main Office,2,00:00.0,00:00.0,00:00.0,5,0,SO71782,PO19372114749,10-4020-000582,CARGO TRANSPORT 5,,39785.3304,3182.8264,994.6333,43962.7901,,1,954,1430.442,0,1430.442
